threads/rank = 128, ranks = 1
SL[1]abs compares S[1] against its exact value: R (Laplace), 2R/3 (Stokes).

#kernel   thr order  ppf    twist       tol | geom_area geom_surf | SL[1]sprd  SL[1]abs     DL[1] | greens_den greens_sol | setup_sl setup_dl   pps/c_sl   pps/c_dl
 laplace  128    12   12   0.5236     1e-03 |  3.97e-14  1.11e-15 |  2.04e-07  1.07e-08  2.34e-07 |   7.18e-14   2.14e-07 |    0.303    0.264     3203.7     3680.7
 laplace  128    12   12   0.5236     1e-06 |  3.97e-14  1.11e-15 |  2.13e-10  4.54e-13  2.14e-10 |   7.18e-14   3.73e-10 |    0.306    0.313     3174.9     3105.6
 laplace  128    12   12   0.5236     1e-09 |  3.97e-14  1.11e-15 |  3.78e-12  1.67e-15  3.85e-12 |   7.18e-14   3.42e-12 |    0.444    0.409     2187.4     2375.2
 laplace  128    12   12   0.5236     1e-12 |  3.97e-14  1.11e-15 |  4.02e-13  1.11e-16  4.96e-13 |   7.18e-14   3.32e-13 |    0.641    0.599     1517.0     1622.3
 laplace  128    12   12   1.5708     1e-03 |  3.80e-14  1.11e-15 |  1.92e-07  1.13e-08  2.23e-07 |   4.89e-11   2.44e-07 |    0.290    0.286     3355.0     3397.2
 laplace  128    12   12   1.5708     1e-06 |  3.80e-14  1.11e-15 |  6.03e-10  2.30e-12  6.01e-10 |   4.89e-11   8.52e-10 |    0.412    0.451     2359.9     2154.6
 laplace  128    12   12   1.5708     1e-09 |  3.80e-14  1.11e-15 |  4.86e-11  5.93e-14  4.89e-11 |   4.89e-11   4.07e-11 |    0.593    0.606     1640.0     1605.1
 laplace  128    12   12   1.5708     1e-12 |  3.80e-14  1.11e-15 |  1.95e-12  2.22e-16  2.07e-12 |   4.89e-11   2.71e-12 |    0.915    0.911     1062.7     1066.4
 laplace  128    12   12   3.1416     1e-03 |  3.99e-14  3.11e-15 |  1.48e-06  6.34e-09  1.50e-06 |   4.28e-08   2.02e-06 |    0.501    0.516     1938.7     1884.0
 laplace  128    12   12   3.1416     1e-06 |  3.99e-14  3.11e-15 |  1.02e-08  5.42e-12  1.02e-08 |   4.28e-08   1.63e-08 |    1.082    1.052      898.3      924.4
 laplace  128    12   12   3.1416     1e-09 |  3.99e-14  3.11e-15 |  1.22e-10  9.99e-15  1.22e-10 |   4.28e-08   2.04e-10 |    1.829    1.871      531.6      519.6
 laplace  128    12   12   3.1416     1e-12 |  3.99e-14  3.11e-15 |  4.84e-12  6.66e-16  4.93e-12 |   4.28e-08   4.65e-11 |    3.137    3.211      309.8      302.7
 stokes   128    12   12   0.5236     1e-03 |  3.97e-14  1.11e-15 |  1.80e-06  1.55e-08  2.43e-05 |   2.25e-13   4.25e-06 |    0.603    0.461     1613.0     2108.8
 stokes   128    12   12   0.5236     1e-06 |  3.97e-14  1.11e-15 |  1.87e-09  5.21e-14  2.72e-08 |   2.25e-13   4.66e-09 |    0.905    0.606     1073.8     1604.3
 stokes   128    12   12   0.5236     1e-09 |  3.97e-14  1.11e-15 |  7.91e-11  3.91e-13  9.29e-10 |   2.25e-13   1.07e-10 |    0.858    0.856     1132.3     1135.9
 stokes   128    12   12   0.5236     1e-12 |  3.97e-14  1.11e-15 |  3.11e-12  3.77e-13  7.09e-11 |   2.25e-13   7.68e-12 |    1.294    1.256      751.3      774.0
 stokes   128    12   12   1.5708     1e-03 |  3.80e-14  1.11e-15 |  3.08e-06  1.43e-08  4.53e-05 |   1.54e-10   8.06e-06 |    0.530    0.541     1832.7     1797.2
 stokes   128    12   12   1.5708     1e-06 |  3.80e-14  1.11e-15 |  1.24e-08  2.24e-12  1.66e-07 |   1.54e-10   3.10e-08 |    0.881    0.894     1103.9     1086.6
