threads/rank = 64, ranks = 1
SL[1]abs compares S[1] against its exact value: R (Laplace), 2R/3 (Stokes).

#kernel   thr order  ppf    twist       tol | geom_area geom_surf | SL[1]sprd  SL[1]abs     DL[1] | greens_den greens_sol | setup_sl setup_dl   pps/c_sl   pps/c_dl
 laplace   64    12   12   0.5236     1e-03 |  3.97e-14  1.11e-15 |  4.75e-07  8.66e-06  2.73e-05 |   7.26e-14   1.02e-05 |    0.291    0.193     6677.0    10075.4
 laplace   64    12   12   0.5236     1e-06 |  3.97e-14  1.11e-15 |  2.12e-10  5.47e-10  1.86e-09 |   7.26e-14   9.77e-10 |    0.311    0.281     6241.5     6922.7
 laplace   64    12   12   0.5236     1e-09 |  3.97e-14  1.11e-15 |  3.78e-12  1.67e-15  3.85e-12 |   7.26e-14   3.42e-12 |    0.392    0.396     4958.0     4911.5
 laplace   64    12   12   0.5236     1e-12 |  3.97e-14  1.11e-15 |  4.02e-13  1.11e-16  4.94e-13 |   7.26e-14   3.32e-13 |    0.541    0.552     3591.3     3524.1
 laplace   64    12   12   1.5708     1e-03 |  3.80e-14  1.22e-15 |  4.12e-07  8.66e-06  2.71e-05 |   4.89e-11   9.97e-06 |    0.251    0.248     7739.2     7830.7
 laplace   64    12   12   1.5708     1e-06 |  3.80e-14  1.22e-15 |  6.03e-10  5.48e-10  2.21e-09 |   4.89e-11   1.43e-09 |    0.404    0.409     4807.5     4758.3
 laplace   64    12   12   1.5708     1e-09 |  3.80e-14  1.22e-15 |  4.86e-11  5.93e-14  4.89e-11 |   4.89e-11   4.07e-11 |    0.594    0.606     3271.3     3206.4
 laplace   64    12   12   1.5708     1e-12 |  3.80e-14  1.22e-15 |  1.95e-12  2.22e-16  2.07e-12 |   4.89e-11   2.71e-12 |    0.905    0.916     2148.7     2121.2
 laplace   64    12   12   3.1416     1e-03 |  3.89e-14  3.22e-15 |  1.50e-06  8.67e-06  2.78e-05 |   4.28e-08   1.12e-05 |    0.503    0.508     3867.2     3829.3
 laplace   64    12   12   3.1416     1e-06 |  3.89e-14  3.22e-15 |  1.02e-08  5.52e-10  1.10e-08 |   4.28e-08   1.57e-08 |    1.143    1.165     1701.0     1668.7
 laplace   64    12   12   3.1416     1e-09 |  3.89e-14  3.22e-15 |  1.22e-10  9.99e-15  1.22e-10 |   4.28e-08   2.04e-10 |    2.043    2.201      951.5      883.4
 laplace   64    12   12   3.1416     1e-12 |  3.89e-14  3.22e-15 |  4.84e-12  6.66e-16  4.93e-12 |   4.28e-08   4.65e-11 |    3.527    3.649      551.2      532.8
 stokes    64    12   12   0.5236     1e-03 |  3.97e-14  1.11e-15 |  2.43e-06  1.30e-05  7.35e-05 |   2.25e-13   1.68e-05 |    0.415    0.409     4680.7     4752.6
 stokes    64    12   12   0.5236     1e-06 |  3.97e-14  1.11e-15 |  1.92e-09  8.20e-10  2.82e-08 |   2.25e-13   5.46e-09 |    0.635    0.628     3062.1     3096.1
 stokes    64    12   12   0.5236     1e-09 |  3.97e-14  1.11e-15 |  7.91e-11  3.91e-13  9.29e-10 |   2.25e-13   1.07e-10 |    0.905    0.899     2148.9     2163.5
 stokes    64    12   12   0.5236     1e-12 |  3.97e-14  1.11e-15 |  3.11e-12  3.77e-13  7.09e-11 |   2.25e-13   7.68e-12 |    1.257    1.259     1546.1     1544.5
 stokes    64    12   12   1.5708     1e-03 |  3.80e-14  1.22e-15 |  3.75e-06  1.30e-05  9.52e-05 |   1.54e-10   2.13e-05 |    0.527    0.520     3690.8     3741.9
 stokes    64    12   12   1.5708     1e-06 |  3.80e-14  1.22e-15 |  1.24e-08  8.22e-10  1.69e-07 |   1.54e-10   3.07e-08 |    0.884    0.882     2198.9     2204.2
 stokes    64    12   12   1.5708     1e-09 |  3.80e-14  1.22e-15 |  4.22e-10  3.03e-13  8.07e-09 |   1.54e-10   8.89e-10 |    1.347    1.339     1443.3     1452.1
 stokes    64    12   12   1.5708     1e-12 |  3.80e-14  1.22e-15 |  2.89e-11  3.73e-13  6.03e-10 |   1.54e-10   5.98e-11 |    2.223    2.042      874.5      952.1
 stokes    64    12   12   3.1416     1e-03 |  3.89e-14  3.22e-15 |  6.17e-06  1.30e-05  1.28e-04 |   1.58e-07   2.57e-05 |    1.055    1.063     1843.0     1828.7
 stokes    64    12   12   3.1416     1e-06 |  3.89e-14  3.22e-15 |  4.57e-08  8.06e-10  5.92e-07 |   1.58e-07   1.09e-07 |    2.485    2.532      782.4      767.7
 stokes    64    12   12   3.1416     1e-09 |  3.89e-14  3.22e-15 |  3.10e-10  4.79e-13  1.21e-08 |   1.58e-07   8.76e-10 |    4.521    4.583      430.0      424.2
 stokes    64    12   12   3.1416     1e-12 |  3.89e-14  3.22e-15 |  5.33e-11  3.63e-13  8.55e-10 |   1.58e-07   3.19e-10 |    7.774    7.832      250.1      248.2
# OpenMP strong scaling (order 12, ppf 8, twist pi/6, tol 1e-9)
 laplace   64    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    0.177    0.180     4890.9     4808.4
 laplace   32    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    0.337    0.346     5123.5     4999.4
 laplace   16    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    0.577    0.590     5985.5     5854.9
 laplace    8    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    1.116    1.139     6192.9     6066.1
 laplace    4    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    2.209    2.265     6258.4     6103.4
 laplace    2    12    8   0.5236     1e-09 |  3.76e-14  1.55e-15 |  4.53e-12  2.11e-15  4.57e-12 |   7.94e-12   6.52e-12 |    4.397    4.520     6287.4     6116.3
